number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_ff,params_dropout,params_learning_rate,params_model_dim,params_num_heads,params_num_layers,params_weight_decay,state
23,0.8132608323049499,2026-03-31 02:03:57.312129,2026-03-31 02:06:28.348666,0 days 00:02:31.036537,32,128,0.17540583322921247,0.0006771943196789671,32,4,4,7.625740351980272e-05,PRUNED
24,0.8197843822843822,2026-03-31 02:06:28.370036,2026-03-31 02:09:00.351672,0 days 00:02:31.981636,32,128,0.10538635025378759,0.0004098195173198566,32,4,4,5.498530701195591e-05,PRUNED
25,0.8712170917317976,2026-03-31 02:09:00.371088,2026-03-31 02:14:43.255970,0 days 00:05:42.884882,32,128,0.15447671989594092,0.0007076471570839431,32,4,4,0.00013995835693670367,PRUNED
26,0.8281182298094063,2026-03-31 02:14:43.275354,2026-03-31 02:16:47.631262,0 days 00:02:04.355908,32,512,0.18478196245209505,0.00016662002700612645,32,4,3,0.0006808735221672084,PRUNED
27,0.740344679829974,2026-03-31 02:16:47.654188,2026-03-31 02:20:03.863295,0 days 00:03:16.209107,32,128,0.13101807836207624,2.477582849510866e-05,32,4,4,0.0001814170727733095,PRUNED
28,0.7707981969011382,2026-03-31 02:20:03.884411,2026-03-31 02:22:05.875255,0 days 00:02:01.990844,32,128,0.2703559614838329,8.456225670345879e-05,32,4,3,0.0004230445467539998,PRUNED
29,0.6312062937062937,2026-03-31 02:22:06.062917,2026-03-31 02:23:59.677069,0 days 00:01:53.614152,64,512,0.3433487490568513,0.0002857924655431812,32,4,3,1.7628183228203322e-05,PRUNED
30,0.8045949883449883,2026-03-31 02:23:59.695526,2026-03-31 02:26:32.102081,0 days 00:02:32.406555,32,128,0.10032111255498168,0.0004797881829031377,32,4,4,4.869273177241602e-05,PRUNED
31,0.9314069998628822,2026-03-31 02:26:32.122025,2026-03-31 02:31:52.697490,0 days 00:05:20.575465,32,128,0.13181022690247296,0.0009676714991380787,32,4,2,1.8240690383720178e-05,COMPLETE
32,0.8860856300562183,2026-03-31 02:31:52.726304,2026-03-31 02:35:32.986133,0 days 00:03:40.259829,32,128,0.1587097191407964,0.0007378456372209938,32,4,2,1.5131773418585743e-05,PRUNED
33,0.931124194433018,2026-03-31 02:35:33.004579,2026-03-31 02:40:07.600635,0 days 00:04:34.596056,32,128,0.20441774315784844,0.0009861529639810516,32,4,2,3.394855110451399e-05,COMPLETE
34,0.9312757095845332,2026-03-31 02:40:07.620042,2026-03-31 02:44:59.517203,0 days 00:04:51.897161,32,128,0.23178792829090666,0.0005671016688579118,64,4,2,6.327679664674463e-05,COMPLETE
35,0.5634824489236254,2026-03-31 02:44:59.538264,2026-03-31 02:46:14.835085,0 days 00:01:15.296821,128,128,0.21890256999880786,1.0254562839234945e-05,64,4,2,3.627672181043322e-05,PRUNED
36,0.9247706705059646,2026-03-31 02:46:14.965694,2026-03-31 02:52:31.929061,0 days 00:06:16.963367,32,512,0.20356931788915783,0.00041989622034184585,64,8,2,5.377044905569481e-05,PRUNED
37,0.9314171122994652,2026-03-31 02:52:31.951006,2026-03-31 02:57:37.327533,0 days 00:05:05.376527,32,128,0.23362430319427363,0.0005970086980869929,64,4,2,0.00018349697869835668,COMPLETE
38,0.808078465651995,2026-03-31 02:57:37.368017,2026-03-31 02:58:55.355651,0 days 00:01:17.987634,128,256,0.24487985819662272,0.00023921338171274204,64,4,2,0.00020296621875444106,PRUNED
39,0.9174177293294941,2026-03-31 02:58:55.376858,2026-03-31 03:05:08.187586,0 days 00:06:12.810728,32,128,0.23981348513812842,0.00038297686085366704,64,8,2,0.0001250349117847502,PRUNED
40,0.8146236116824352,2026-03-31 03:05:08.209143,2026-03-31 03:07:19.951746,0 days 00:02:11.742603,64,256,0.3240057737398965,0.0005718136164714797,64,8,2,0.0087433570307728,PRUNED
41,0.8574095022624435,2026-03-31 03:07:19.973270,2026-03-31 03:09:07.530254,0 days 00:01:47.556984,32,128,0.21019377674912465,0.0007103999638058351,64,4,2,6.162505404470456e-05,PRUNED
42,0.9070250582750583,2026-03-31 03:09:07.552393,2026-03-31 03:11:56.907517,0 days 00:02:49.355124,32,128,0.26309717935974364,0.00032243936542647716,64,4,2,3.636594317131187e-05,PRUNED
43,0.9312757095845332,2026-03-31 03:11:56.929867,2026-03-31 03:17:03.847651,0 days 00:05:06.917784,32,128,0.2325811642486529,0.0005853567303736505,64,4,2,1.820677140948358e-05,COMPLETE
44,0.9250534759358289,2026-03-31 03:17:03.869558,2026-03-31 03:21:10.137658,0 days 00:04:06.268100,32,128,0.2998062285833523,0.0005506397696351561,64,4,2,1.8426265144542413e-05,PRUNED
45,0.8763992869875223,2026-03-31 03:21:10.277639,2026-03-31 03:22:44.144146,0 days 00:01:33.866507,128,512,0.23077526113127958,0.0007704758488381742,64,4,2,0.00015493923861800544,PRUNED
46,0.7842009461127109,2026-03-31 03:22:44.163791,2026-03-31 03:24:18.185572,0 days 00:01:34.021781,32,256,0.3563457407684031,0.00036394955011947723,64,4,2,0.0002846731048412114,PRUNED
47,0.8396126422597011,2026-03-31 03:24:18.206227,2026-03-31 03:26:38.969370,0 days 00:02:20.763143,32,128,0.27343339488917096,0.0006290312135294162,64,8,2,0.00198840009763792,PRUNED
48,0.8666524406965583,2026-03-31 03:26:38.997421,2026-03-31 03:28:11.610746,0 days 00:01:32.613325,32,128,0.2585748582099378,0.0004899140985568035,64,4,2,7.183008401196563e-05,PRUNED
49,0.8478549636637872,2026-03-31 03:28:11.631994,2026-03-31 03:29:43.948923,0 days 00:01:32.316929,32,128,0.2848785243768661,0.00026376242010811335,64,4,2,2.1554521118051936e-05,PRUNED
50,0.7560614630467571,2026-03-31 03:29:43.969745,2026-03-31 03:31:35.466466,0 days 00:01:51.496721,128,128,0.3195551947088144,0.000122253715152873,64,4,3,1.0087834128511066e-05,PRUNED
51,0.9312655971479501,2026-03-31 03:31:35.488640,2026-03-31 03:36:42.724116,0 days 00:05:07.235476,32,128,0.20020829390013342,0.0009718919873388152,64,4,2,2.8055732818864776e-05,COMPLETE
52,0.9314171122994652,2026-03-31 03:36:42.747785,2026-03-31 03:41:48.166142,0 days 00:05:05.418357,32,128,0.19355655340094688,0.0008096331310083131,64,4,2,1.3736855053328152e-05,COMPLETE
53,0.9304272932949404,2026-03-31 03:41:48.191531,2026-03-31 03:46:56.274044,0 days 00:05:08.082513,32,128,0.16790164028387974,0.0007621558985010329,64,4,2,1.284327386723233e-05,COMPLETE
54,0.9312757095845332,2026-03-31 03:46:56.295797,2026-03-31 03:52:03.477709,0 days 00:05:07.181912,32,128,0.1462972859362602,0.0006045791339501894,64,4,2,2.395947396240601e-05,COMPLETE
55,0.8830452145893322,2026-03-31 03:52:03.501467,2026-03-31 03:53:51.516330,0 days 00:01:48.014863,32,128,0.22803451772568722,0.0008209103803145127,64,4,2,1.4047641393002348e-05,PRUNED
56,0.839673145481969,2026-03-31 03:53:51.654744,2026-03-31 03:55:12.566156,0 days 00:01:20.911412,64,128,0.18839788878797487,0.0005122459009288148,64,4,2,1.5215464402328122e-05,PRUNED
57,0.8585210133004251,2026-03-31 03:55:12.588914,2026-03-31 03:57:01.499725,0 days 00:01:48.910811,32,256,0.12004962528625096,0.00020312277718266642,64,4,2,4.163920943197684e-05,PRUNED
58,0.8607640888523241,2026-03-31 03:57:01.642128,2026-03-31 03:59:22.541265,0 days 00:02:20.899137,32,128,0.24775963836527043,0.0003086872353792923,64,8,2,7.705497704015782e-05,PRUNED
59,0.8949640065816536,2026-03-31 03:59:22.565337,2026-03-31 04:01:56.347372,0 days 00:02:33.782035,32,128,0.19140279153235976,0.0008489055700111294,64,4,3,0.0003678052459638871,PRUNED
60,0.9314272247360482,2026-03-31 04:01:56.554370,2026-03-31 04:07:16.277655,0 days 00:05:19.723285,32,512,0.16655149754316778,0.0006077866443890652,64,4,2,2.883998659373742e-05,COMPLETE
61,0.7758876662553134,2026-03-31 04:07:16.310426,2026-03-31 04:08:51.447634,0 days 00:01:35.137208,32,512,0.1679907538306693,0.0006645309197280387,64,4,2,2.7860450975754063e-05,PRUNED
62,0.8654805978335389,2026-03-31 04:08:51.621685,2026-03-31 04:10:42.874827,0 days 00:01:51.253142,32,512,0.14190948814307125,0.0004406563121171758,64,4,2,1.860658596519079e-05,PRUNED
63,0.8652382421500069,2026-03-31 04:10:43.019829,2026-03-31 04:12:34.555569,0 days 00:01:51.535740,32,512,0.11968167318533374,0.0006074359830712943,64,4,2,4.4070680079235944e-05,PRUNED
64,0.5487664541341012,2026-03-31 04:12:34.578198,2026-03-31 04:15:31.695842,0 days 00:02:57.117644,32,512,0.22039742395405032,0.000857773574137788,64,4,4,2.2527147284747376e-05,PRUNED
65,0.9111752708076237,2026-03-31 04:15:31.717264,2026-03-31 04:18:42.446257,0 days 00:03:10.728993,32,512,0.17371857258995532,0.0005516695662376426,64,4,2,3.127703082984901e-05,PRUNED
66,0.9312757095845332,2026-03-31 04:18:42.467443,2026-03-31 04:23:28.736751,0 days 00:04:46.269308,32,128,0.14084955917596506,0.0009968072626391161,32,4,2,0.00011311564897232625,COMPLETE
67,0.8536315645139174,2026-03-31 04:23:28.758619,2026-03-31 04:24:49.117546,0 days 00:01:20.358927,64,128,0.4701841221545848,0.0003607571148647904,64,4,2,6.677640938989343e-05,PRUNED
68,0.9315686274509805,2026-03-31 04:24:49.140110,2026-03-31 04:29:36.677642,0 days 00:04:47.537532,32,128,0.1585975095802465,0.0006781184382968634,32,4,2,1.4941181627093251e-05,COMPLETE
69,0.828896030440148,2026-03-31 04:29:36.709159,2026-03-31 04:31:37.275959,0 days 00:02:00.566800,32,128,0.16335552052561714,0.0007202901558889418,32,4,3,1.2033358106109985e-05,PRUNED
70,0.8632579185520362,2026-03-31 04:31:37.298073,2026-03-31 04:33:59.933141,0 days 00:02:22.635068,128,512,0.12378979076186189,0.00047238301530287447,32,4,4,1.002288455640556e-05,PRUNED
71,0.9312757095845332,2026-03-31 04:33:59.954382,2026-03-31 04:38:18.209197,0 days 00:04:18.254815,32,128,0.15230155676758184,0.000665726744699063,32,4,2,1.6422239891272038e-05,COMPLETE
72,0.647611065405183,2026-03-31 04:38:18.230676,2026-03-31 04:39:44.102902,0 days 00:01:25.872226,32,128,0.19559041240291347,3.186728115524695e-05,32,4,2,2.2012030841049453e-05,PRUNED
73,0.8919530714383656,2026-03-31 04:39:44.124240,2026-03-31 04:41:24.351790,0 days 00:01:40.227550,32,128,0.18492404205615032,0.0008431861915129224,32,4,2,0.0005513860103907993,PRUNED
74,0.8018569175922117,2026-03-31 04:41:24.373045,2026-03-31 04:42:49.993400,0 days 00:01:25.620355,32,128,0.21167529820798475,0.00010072329506682051,32,4,2,1.2918623884556109e-05,PRUNED
75,0.8313101604278075,2026-03-31 04:42:50.014365,2026-03-31 04:44:16.778835,0 days 00:01:26.764470,32,128,0.22946220631350187,0.0004227331092033544,32,4,2,8.595303727599648e-05,PRUNED
76,0.8921657754010696,2026-03-31 04:44:16.798664,2026-03-31 04:46:59.374670,0 days 00:02:42.576006,32,128,0.13822288342219058,0.0005390619365027801,64,8,2,3.223212051101649e-05,PRUNED
77,0.7870891608391608,2026-03-31 04:46:59.396110,2026-03-31 04:49:07.006974,0 days 00:02:07.610864,32,256,0.24914918455654939,0.0008741579155119509,32,4,2,0.001045281694880925,PRUNED
78,0.8951458590429178,2026-03-31 04:49:07.141114,2026-03-31 04:50:53.631363,0 days 00:01:46.490249,32,128,0.1716868570151451,0.0006473106177059566,64,4,2,1.6348953519725566e-05,PRUNED
79,0.9314272247360482,2026-03-31 04:50:53.652399,2026-03-31 04:55:55.612142,0 days 00:05:01.959743,32,128,0.15894378462619385,0.0007550544353722928,64,4,2,5.3479141161062e-05,COMPLETE
80,0.8495008912655971,2026-03-31 04:55:55.633706,2026-03-31 04:58:00.509618,0 days 00:02:04.875912,64,128,0.1535474360760799,0.0007608585138806985,32,4,3,5.412917406443035e-05,PRUNED
81,0.8723786507610036,2026-03-31 04:58:00.530387,2026-03-31 04:59:46.756080,0 days 00:01:46.225693,32,128,0.11336461688460163,0.0005837934641314702,64,4,2,4.187569149226129e-05,PRUNED
82,0.9315585150143975,2026-03-31 04:59:46.777738,2026-03-31 05:04:50.145518,0 days 00:05:03.367780,32,128,0.1804196593732994,0.0007591576912669662,64,4,2,1.9381114359348945e-05,COMPLETE
83,0.9312757095845332,2026-03-31 05:04:50.165617,2026-03-31 05:09:51.631478,0 days 00:05:01.465861,32,128,0.18156165251787085,0.0007605069641214859,64,4,2,2.5943547387986615e-05,COMPLETE
84,0.8756725627313862,2026-03-31 05:09:51.653841,2026-03-31 05:11:38.463913,0 days 00:01:46.810072,32,128,0.13088431245921567,0.0006995303428775957,64,4,2,5.885193379831663e-05,PRUNED
85,0.9312757095845332,2026-03-31 05:11:38.489499,2026-03-31 05:16:39.635410,0 days 00:05:01.145911,32,128,0.16113566035715465,0.00092324095445976,64,4,2,0.0001978448655899954,COMPLETE
86,0.9020238584944467,2026-03-31 05:16:39.655895,2026-03-31 05:18:23.990252,0 days 00:01:44.334357,32,128,0.17762036460863365,0.0005044449245288822,64,4,2,3.0479405112712945e-05,PRUNED
87,0.7129411764705882,2026-03-31 05:18:24.010364,2026-03-31 05:20:58.524631,0 days 00:02:34.514267,128,512,0.20314186875515014,0.0008135055552571252,64,4,4,4.6218481873280736e-05,PRUNED
88,0.891105683532154,2026-03-31 05:20:58.548772,2026-03-31 05:23:36.124655,0 days 00:02:37.575883,32,128,0.14881386028058669,0.0003986890183380929,32,8,2,0.003926715050547335,PRUNED
89,0.872146750308515,2026-03-31 05:23:36.263502,2026-03-31 05:25:06.208597,0 days 00:01:29.945095,32,128,0.13454183069977863,0.0009206312188077962,64,4,2,1.9293937326815204e-05,PRUNED
90,0.7933011106540518,2026-03-31 05:25:06.229502,2026-03-31 05:26:32.693398,0 days 00:01:26.463896,32,256,0.16075392861599055,0.0006583642288885501,32,4,2,0.00014671093691984854,PRUNED
91,0.9312757095845332,2026-03-31 05:26:32.714044,2026-03-31 05:31:31.935339,0 days 00:04:59.221295,32,128,0.24025537460357013,0.00045507505495043585,64,4,2,1.4544021633444075e-05,COMPLETE
92,0.8656214863567805,2026-03-31 05:31:31.956979,2026-03-31 05:33:02.042136,0 days 00:01:30.085157,32,128,0.21134323644020436,0.0005875968954805946,64,4,2,1.998542846476788e-05,PRUNED
93,0.9314171122994652,2026-03-31 05:33:02.173594,2026-03-31 05:38:00.893312,0 days 00:04:58.719718,32,128,0.19312957194369262,0.0007157340012176651,64,4,2,2.4042581288665912e-05,COMPLETE
94,0.9312757095845332,2026-03-31 05:38:00.914702,2026-03-31 05:43:00.306883,0 days 00:04:59.392181,32,128,0.19444643984271956,0.0007732067370353641,64,4,2,2.572078447590085e-05,COMPLETE
95,0.8787225764431648,2026-03-31 05:43:00.327369,2026-03-31 05:44:31.143711,0 days 00:01:30.816342,32,128,0.17243882480226594,0.0006969488898511836,64,4,2,3.851773968092818e-05,PRUNED
96,0.9314171122994652,2026-03-31 05:44:31.163259,2026-03-31 05:49:30.490119,0 days 00:04:59.326860,32,128,0.18149117655597002,0.0009930457057646801,64,4,2,8.778285856993651e-05,COMPLETE
97,0.9314171122994652,2026-03-31 05:49:30.510531,2026-03-31 05:54:40.954018,0 days 00:05:10.443487,32,128,0.18173670154758204,0.0009919429909045117,64,4,2,8.336540934386435e-05,COMPLETE
98,0.8971758878376526,2026-03-31 05:54:40.977665,2026-03-31 05:56:30.829521,0 days 00:01:49.851856,32,128,0.1816734685294235,0.0009280645814714467,64,4,2,9.544665236981443e-05,PRUNED
99,0.856440936514466,2026-03-31 05:56:30.852514,2026-03-31 05:58:05.557809,0 days 00:01:34.705295,32,128,0.19191602238860753,0.0008844057779003738,64,4,2,0.00023503346349220298,PRUNED
100,0.8765806252570958,2026-03-31 05:58:05.581067,2026-03-31 05:59:31.982921,0 days 00:01:26.401854,64,512,0.20122245081664708,0.0009939538836403802,64,4,2,0.00011837147569208167,PRUNED
101,0.8869544426162073,2026-03-31 05:59:32.007139,2026-03-31 06:01:43.605423,0 days 00:02:11.598284,32,128,0.14949187713337442,0.0008031179969292593,64,4,2,7.145491617359581e-05,PRUNED
102,0.930215103523927,2026-03-31 06:01:43.625926,2026-03-31 06:06:37.447380,0 days 00:04:53.821454,32,128,0.16316338027957455,0.0007288319318037338,64,4,2,8.574735460415147e-05,COMPLETE
103,0.8355419580419581,2026-03-31 06:06:37.469243,2026-03-31 06:08:10.604758,0 days 00:01:33.135515,32,128,0.1111822590177843,0.0009965780391939405,64,4,2,0.00016476492576584516,PRUNED
104,0.8644594131358837,2026-03-31 06:08:10.748785,2026-03-31 06:09:45.014405,0 days 00:01:34.265620,32,128,0.16756337786390615,0.0006205364835294736,64,4,2,5.180346209269629e-05,PRUNED
105,0.8261793843411491,2026-03-31 06:09:45.038455,2026-03-31 06:11:13.200333,0 days 00:01:28.161878,32,128,0.15693928440219482,0.0008332653645393899,32,4,2,0.00012907810957187374,PRUNED
106,0.7956249143013849,2026-03-31 06:11:13.229172,2026-03-31 06:12:44.288312,0 days 00:01:31.059140,32,128,0.12551647064635468,6.657142173795659e-05,64,4,2,1.2120020584448131e-05,PRUNED
107,0.8414819004524887,2026-03-31 06:12:44.308014,2026-03-31 06:14:48.535339,0 days 00:02:04.227325,128,128,0.1437969389315678,0.0005144861189019921,64,8,2,2.2928832223428827e-05,PRUNED
108,0.8326429452900042,2026-03-31 06:15:28.616406,2026-03-31 06:16:53.560946,0 days 00:01:24.944540,32,128,0.3978000742566065,0.0009096811590657159,32,4,2,3.6265826774772376e-05,PRUNED
109,0.6344385026737969,2026-03-31 06:16:53.581047,2026-03-31 06:19:07.117839,0 days 00:02:13.536792,32,512,0.2183787268894811,0.00069109888506666,64,4,3,0.00010701362863539854,PRUNED
110,0.9314171122994652,2026-03-31 06:19:07.138022,2026-03-31 06:24:05.623471,0 days 00:04:58.485449,32,128,0.17859048334875824,0.0007872643236870557,64,4,2,1.6486661065505946e-05,COMPLETE
111,0.8068258946935418,2026-03-31 06:24:05.646181,2026-03-31 06:25:36.032847,0 days 00:01:30.386666,32,128,0.17773128325045662,0.000794130264084606,64,4,2,1.6925517538735522e-05,PRUNED
112,0.8759649664061429,2026-03-31 06:25:36.209003,2026-03-31 06:27:06.761126,0 days 00:01:30.552123,32,128,0.18591787013475622,0.0006374375548026286,64,4,2,1.5264496297860716e-05,PRUNED
113,0.8840552584670232,2026-03-31 06:27:06.782903,2026-03-31 06:28:37.450838,0 days 00:01:30.667935,32,128,0.2069215474121998,0.0009010235131936768,64,4,2,1.3388889331513012e-05,PRUNED
114,0.8891058206499383,2026-03-31 06:28:37.470763,2026-03-31 06:30:07.311177,0 days 00:01:29.840414,32,128,0.13845267125478747,0.0007364793528641633,64,4,2,2.870589254275298e-05,PRUNED
115,0.9036910393528041,2026-03-31 06:30:07.453750,2026-03-31 06:31:54.024658,0 days 00:01:46.570908,32,256,0.16886673032572297,0.0008206588886954139,64,4,2,2.4230229292455845e-05,PRUNED
116,0.8157243246949129,2026-03-31 06:31:54.046507,2026-03-31 06:33:20.343246,0 days 00:01:26.296739,32,128,0.1944841944036102,0.0006631755128356027,32,4,2,1.1069450760069224e-05,PRUNED
117,0.8981854175236528,2026-03-31 06:33:20.362828,2026-03-31 06:35:05.065724,0 days 00:01:44.702896,32,128,0.17845294343677037,0.0005531730371926156,64,4,2,2.0194280989739706e-05,PRUNED
118,0.6362781091457562,2026-03-31 06:35:05.086211,2026-03-31 06:38:32.883871,0 days 00:03:27.797660,32,128,0.15781840950425238,1.1765086987076847e-05,64,4,4,7.976123483663503e-05,PRUNED
119,0.8474808035102153,2026-03-31 06:38:33.058021,2026-03-31 06:39:46.522157,0 days 00:01:13.464136,64,128,0.188900138780981,0.0009989619831135413,32,4,2,6.185600298219072e-05,PRUNED
